timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,117.82247161865234,60,10.0,3.25,0.0,244,168.625,0,0.0,10.0,3.5,0.0,240,160.725,0,0.0
131072,216.25973272323608,141,10.0,4.5,0.0,504,332.45,0,0.0,10.0,4.0,0.0,505,279.025,0,0.0
196608,319.0771083831787,313,10.0,4.5,0.0,704,403.975,0,0.0,10.0,4.0,0.0,764,336.3,0,0.0
262144,479.0912938117981,624,10.0,4.0,0.0,1000,278.125,0,0.0,10.0,4.25,0.0,1000,397.55,0,0.025
327680,650.8679132461548,1072,10.0,5.0,0.0,465,145.5,0,0.0,10.0,5.25,0.0,413,156.575,0,0.0
393216,847.2024011611938,1616,10.0,4.25,0.0,326,121.05,0,0.0,10.0,4.25,0.0,287,125.85,0,0.0
458752,1005.1380789279938,2280,10.0,4.5,0.0,271,101.625,0,0.0,10.0,5.25,0.0,565,101.85,0,0.0
524288,1160.783674955368,3052,10.0,5.5,0.0,271,90.275,0,0.0,10.0,5.5,0.0,293,101.55,0,0.0
589824,1311.7591092586517,3807,10.0,4.25,0.0,365,90.75,0,0.0,10.0,4.75,0.0,237,88.8,0,0.025
655360,1453.3720576763153,4641,10.0,4.0,0.0,215,64.425,0,0.0,10.0,5.0,0.0,270,84.325,0,0.025
720896,1591.3177926540375,5495,10.0,4.0,0.0,268,79.15,0,0.0,10.0,3.5,0.0,290,69.05,0,0.0
786432,1737.8936533927917,6399,10.0,4.5,0.0,279,77.6,0,0.025,10.0,5.25,0.0,150,66.225,0,0.0
851968,1877.8103528022766,7355,10.0,4.25,0.0,205,71.775,0,0.0,10.0,4.0,0.0,213,65.225,0,0.0
917504,2012.5201082229614,8359,10.0,5.0,0.0,188,55.625,0,0.0,10.0,6.0,0.0,199,63.625,0,0.0
983040,2152.9622769355774,9396,10.0,5.5,0.0,150,63.5,0,0.0,10.0,4.5,0.0,266,74.375,0,0.0
1048576,2292.176612854004,10380,10.0,5.5,0.0,175,56.925,0,0.0,10.0,4.5,0.0,154,61.65,0,0.0
1114112,2435.8169095516205,11385,10.0,5.5,0.0,162,64.0,0,0.0,10.0,5.25,0.0,126,59.875,0,0.0
1179648,2579.6864421367645,12406,10.0,3.75,0.0,133,62.4,0,0.0,10.0,5.0,0.0,109,58.85,0,0.0
1245184,2719.67960190773,13500,10.0,5.0,0.0,201,58.55,0,0.0,10.0,5.5,0.0,142,64.15,0,0.0
1310720,2861.529806613922,14516,10.0,6.25,0.0,143,59.4,0,0.0,10.0,5.5,0.0,207,61.325,0,0.0
1376256,2998.809107065201,15545,10.0,6.5,0.0,175,58.5,0,0.0,10.0,6.0,0.0,156,67.45,0,0.0
1441792,3143.055544614792,16582,10.0,4.25,0.0,180,61.475,0,0.0,10.0,3.75,0.0,223,76.7,0,0.025
1507328,3290.141403913498,17618,10.0,4.75,0.0,165,55.6,0,0.0,10.0,4.75,0.0,215,64.9,0,0.0
1572864,3432.3318898677826,18664,10.0,6.0,0.0,202,68.875,0,0.0,10.0,5.0,0.0,164,55.95,0,0.0
1638400,3574.4466965198517,19731,10.0,4.5,0.0,116,52.95,0,0.0,10.0,7.25,0.0,126,63.85,0,0.0
1703936,3718.5147321224213,20793,10.0,5.25,0.0,145,53.575,0,0.0,10.0,4.75,0.0,184,62.175,0,0.0
1769472,3865.894347190857,21855,10.0,4.25,0.0,181,74.275,0,0.05,10.0,4.25,0.0,161,64.525,0,0.0
1835008,4008.6278319358826,22983,10.0,4.5,0.0,126,61.05,0,0.0,10.0,5.25,0.0,108,53.25,0,0.0
1900544,4149.244127750397,24108,10.0,6.0,0.0,195,57.125,0,0.0,10.0,5.5,0.0,173,59.525,0,0.0
1966080,4289.993789434433,25171,10.0,4.75,0.0,200,59.375,0,0.0,10.0,5.75,0.0,110,56.475,0,0.0
2031616,4431.6392827034,26257,10.0,5.5,0.0,179,66.275,0,0.0,10.0,5.5,0.0,110,52.75,0,0.0
2097152,4581.266010046005,27360,10.0,5.25,0.0,146,53.45,0,0.0,10.0,6.0,0.0,107,48.575,0,0.0
