timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
65536,138.1168704032898,24,10.0,10.0,0.0,239,100.0,0,0.0,10.0,10.0,0.0,253,125.3157894736842,0,0.0
131072,324.33845615386963,261,10.0,0.75,0.0,500,480.5,0,0.0,10.0,1.25,0.0,500,494.925,0,0.0
196608,489.94100761413574,333,10.0,7.5,0.0,500,215.15,0,0.0,10.0,7.5,0.0,500,216.85,0,0.0
262144,656.8956732749939,544,10.0,1.0,0.0,500,481.625,0,0.0,10.0,0.25,0.0,500,494.975,0,0.0
327680,804.3695223331451,652,10.0,5.75,0.0,500,277.2,0,0.0,10.0,4.25,0.0,500,343.95,0,0.0
393216,960.2997944355011,851,10.0,2.0,0.0,500,431.575,0,0.0,10.0,2.75,0.0,500,403.45,0,0.0
458752,1109.682157278061,960,10.0,3.25,0.0,500,394.425,0,0.0,10.0,3.25,0.0,500,363.8,0,0.025
524288,1249.0600481033325,1162,10.0,0.75,0.0,500,483.925,0,0.0,10.0,1.0,0.0,500,452.225,0,0.0
589824,1393.7068948745728,1306,10.0,4.25,0.0,500,333.55,0,0.025,10.0,3.0,0.0,500,392.2,0,0.0
655360,1529.6252753734589,1484,10.0,3.0,0.0,500,383.875,0,0.0,10.0,2.75,0.0,500,402.375,0,0.0
720896,1659.3641757965088,1619,10.0,2.5,0.0,500,386.675,0,0.0,10.0,3.5,0.0,500,369.55,0,0.0
786432,1795.3657279014587,1795,10.0,2.0,0.0,500,413.525,0,0.0,10.0,1.75,0.0,500,441.775,0,0.025
851968,1931.6301321983337,1929,10.0,2.75,0.0,500,404.325,0,0.0,10.0,3.25,0.0,500,378.175,0,0.0
917504,2070.073852300644,2106,10.0,2.75,0.0,500,383.3,0,0.025,10.0,1.0,0.0,500,452.25,0,0.0
983040,2209.1847534179688,2240,10.0,2.25,0.0,500,411.2,0,0.0,10.0,2.25,0.0,500,426.175,0,0.0
1048576,2348.6678404808044,2420,10.0,1.5,0.0,500,434.0,0,0.0,10.0,2.0,0.0,500,424.525,0,0.0
1114112,2487.817817926407,2555,10.0,1.75,0.0,500,422.625,0,0.0,10.0,1.5,0.0,500,434.425,0,0.0
1179648,2625.1344339847565,2735,10.0,2.0,0.0,500,421.8,0,0.0,10.0,2.25,0.0,500,414.025,0,0.0
1245184,2764.9937171936035,2861,10.0,2.0,0.0,500,428.8,0,0.0,10.0,3.0,0.0,500,397.9,0,0.025
1310720,2909.5957288742065,3041,10.0,1.75,0.0,500,435.175,0,0.0,10.0,1.5,0.0,500,440.275,0,0.0
1376256,3052.242926597595,3166,10.0,1.25,0.0,500,448.6,0,0.0,10.0,1.5,0.0,500,432.5,0,0.0
1441792,3196.1656699180603,3348,10.0,2.25,0.0,500,416.1,0,0.0,10.0,2.25,0.0,500,408.675,0,0.0
1507328,3335.1586577892303,3470,10.0,1.5,0.0,500,448.2,0,0.0,10.0,2.25,0.0,500,411.0,0,0.0
1572864,3476.038649082184,3660,10.0,2.0,0.0,500,418.225,0,0.0,10.0,2.0,0.0,500,408.35,0,0.0
1638400,3619.1936473846436,3788,10.0,2.25,0.0,500,404.45,0,0.0,10.0,2.0,0.0,500,420.325,0,0.0
1703936,3758.4151351451874,3980,10.0,1.0,0.0,500,451.7,0,0.025,10.0,1.25,0.0,500,465.425,0,0.025
1769472,3896.051462650299,4102,10.0,1.5,0.0,500,431.4,0,0.0,10.0,2.5,0.0,500,386.675,0,0.0
1835008,4038.222999572754,4302,10.0,2.0,0.0,500,414.25,0,0.0,10.0,2.25,0.0,500,400.125,0,0.0
1900544,4177.183187484741,4431,10.0,2.75,0.0,500,394.9,0,0.0,10.0,1.5,0.0,500,448.475,0,0.025
1966080,4320.192157030106,4625,10.0,1.5,0.0,500,440.2,0,0.0,10.0,1.5,0.0,500,445.125,0,0.0
2031616,4464.566273927689,4756,10.0,2.0,0.0,500,418.325,0,0.0,10.0,2.25,0.0,500,405.625,0,0.0
